"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"26882","Native",1,24,"reflexive","tt","reflexive tt",4,0,177,177,-0.5,0.5,177
"26884","Native",1,12,"reflexive","tt","reflexive tt",4,0,654,654,-0.5,0.5,654
"26886","Native",1,6,"reflexive","tt","reflexive tt",2,0,324,324,0.5,0.5,324
"26888","Native",1,7,"reflexive","tt","reflexive tt",3,0,661,661,-0.5,-0.5,661
"26890","Native",1,14,"reflexive","tt","reflexive tt",2,0,463,463,0.5,0.5,463
"26892","Native",1,21,"reflexive","tt","reflexive tt",1,0,383,383,0.5,-0.5,383
"26894","Native",1,19,"reflexive","tt","reflexive tt",3,0,346,346,-0.5,-0.5,346
"26896","Native",1,17,"reflexive","tt","reflexive tt",1,0,547,547,0.5,-0.5,547
"26898","Native",1,10,"reflexive","tt","reflexive tt",2,0,592,592,0.5,0.5,592
"26900","Native",1,23,"reflexive","tt","reflexive tt",3,0,926,926,-0.5,-0.5,926
"26902","Native",1,15,"reflexive","tt","reflexive tt",3,0,487,487,-0.5,-0.5,487
"26904","Native",1,1,"reflexive","tt","reflexive tt",1,0,317,317,0.5,-0.5,317
"26906","Native",1,2,"reflexive","tt","reflexive tt",2,0,659,659,0.5,0.5,659
"26908","Native",1,5,"reflexive","tt","reflexive tt",1,0,179,179,0.5,-0.5,179
"26910","Native",1,16,"reflexive","tt","reflexive tt",4,0,448,448,-0.5,0.5,448
"26912","Native",1,3,"reflexive","tt","reflexive tt",3,0,224,224,-0.5,-0.5,224
"26914","Native",1,13,"reflexive","tt","reflexive tt",1,0,1196,1196,0.5,-0.5,1196
"26916","Native",1,11,"reflexive","tt","reflexive tt",3,0,191,191,-0.5,-0.5,191
"26918","Native",1,9,"reflexive","tt","reflexive tt",1,0,203,203,0.5,-0.5,203
"26920","Native",1,8,"reflexive","tt","reflexive tt",4,0,397,397,-0.5,0.5,397
"26922","Native",1,4,"reflexive","tt","reflexive tt",4,0,531,531,-0.5,0.5,531
"26924","Native",1,20,"reflexive","tt","reflexive tt",4,0,898,898,-0.5,0.5,898
"26926","Native",1,18,"reflexive","tt","reflexive tt",2,0,407,407,0.5,0.5,407
"26928","Native",1,22,"reflexive","tt","reflexive tt",2,0,763,763,0.5,0.5,763
"26930","Native",2,14,"reflexive","tt","reflexive tt",3,0,527,527,-0.5,-0.5,527
"26932","Native",2,4,"reflexive","tt","reflexive tt",1,1,0,NA,0.5,-0.5,NA
"26934","Native",2,19,"reflexive","tt","reflexive tt",4,0,401,401,-0.5,0.5,401
"26936","Native",2,1,"reflexive","tt","reflexive tt",2,0,263,263,0.5,0.5,263
"26938","Native",2,5,"reflexive","tt","reflexive tt",2,0,748,748,0.5,0.5,748
"26940","Native",2,15,"reflexive","tt","reflexive tt",4,0,843,843,-0.5,0.5,843
"26942","Native",2,7,"reflexive","tt","reflexive tt",4,0,710,710,-0.5,0.5,710
