"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"11522","Native",1,24,"disamb","rp","disamb rp",4,0,188,188,-0.5,0.5,188
"11524","Native",1,12,"disamb","rp","disamb rp",4,0,192,192,-0.5,0.5,192
"11526","Native",1,6,"disamb","rp","disamb rp",2,0,2686,2686,0.5,0.5,NA
"11528","Native",1,7,"disamb","rp","disamb rp",3,0,186,186,-0.5,-0.5,186
"11530","Native",1,14,"disamb","rp","disamb rp",2,0,303,303,0.5,0.5,303
"11532","Native",1,21,"disamb","rp","disamb rp",1,0,191,191,0.5,-0.5,191
"11534","Native",1,19,"disamb","rp","disamb rp",3,1,0,NA,-0.5,-0.5,NA
"11536","Native",1,17,"disamb","rp","disamb rp",1,1,0,NA,0.5,-0.5,NA
"11538","Native",1,10,"disamb","rp","disamb rp",2,0,513,513,0.5,0.5,513
"11540","Native",1,23,"disamb","rp","disamb rp",3,0,449,449,-0.5,-0.5,449
"11542","Native",1,15,"disamb","rp","disamb rp",3,0,348,348,-0.5,-0.5,348
"11544","Native",1,1,"disamb","rp","disamb rp",1,0,201,201,0.5,-0.5,201
"11546","Native",1,2,"disamb","rp","disamb rp",2,0,276,276,0.5,0.5,276
"11548","Native",1,5,"disamb","rp","disamb rp",1,0,347,347,0.5,-0.5,347
"11550","Native",1,16,"disamb","rp","disamb rp",4,0,264,264,-0.5,0.5,264
"11552","Native",1,3,"disamb","rp","disamb rp",3,0,203,203,-0.5,-0.5,203
"11554","Native",1,13,"disamb","rp","disamb rp",1,1,0,NA,0.5,-0.5,NA
"11556","Native",1,11,"disamb","rp","disamb rp",3,0,451,451,-0.5,-0.5,451
"11558","Native",1,9,"disamb","rp","disamb rp",1,0,335,335,0.5,-0.5,335
"11560","Native",1,8,"disamb","rp","disamb rp",4,0,289,289,-0.5,0.5,289
"11562","Native",1,4,"disamb","rp","disamb rp",4,0,253,253,-0.5,0.5,253
"11564","Native",1,20,"disamb","rp","disamb rp",4,0,381,381,-0.5,0.5,381
"11566","Native",1,18,"disamb","rp","disamb rp",2,0,234,234,0.5,0.5,234
"11568","Native",1,22,"disamb","rp","disamb rp",2,0,1341,1341,0.5,0.5,1341
"11570","Native",2,14,"disamb","rp","disamb rp",3,0,199,199,-0.5,-0.5,199
"11572","Native",2,4,"disamb","rp","disamb rp",1,0,323,323,0.5,-0.5,323
"11574","Native",2,19,"disamb","rp","disamb rp",4,0,250,250,-0.5,0.5,250
"11576","Native",2,1,"disamb","rp","disamb rp",2,0,194,194,0.5,0.5,194
"11578","Native",2,5,"disamb","rp","disamb rp",2,1,0,NA,0.5,0.5,NA
"11580","Native",2,15,"disamb","rp","disamb rp",4,0,404,404,-0.5,0.5,404
"11582","Native",2,7,"disamb","rp","disamb rp",4,0,177,177,-0.5,0.5,177
"11584","Native",2,18,"disamb","rp","disamb rp",3,0,210,210,-0.5,-0.5,210
"11586","Native",2,6,"disamb","rp","disamb rp",3,0,369,369,-0.5,-0.5,369
"11588","Native",2,22,"disamb","rp","disamb rp",3,0,302,302,-0.5,-0.5,302
"11590","Native",2,10,"disamb","rp","disamb rp",3,0,552,552,-0.5,-0.5,552
"11592","Native",2,8,"disamb","rp","disamb rp",1,0,624,624,0.5,-0.5,624
"11594","Native",2,24,"disamb","rp","disamb rp",1,0,1433,1433,0.5,-0.5,NA
"11596","Native",2,17,"disamb","rp","disamb rp",2,1,0,NA,0.5,0.5,NA
"11598","Native",2,2,"disamb","rp","disamb rp",3,1,0,NA,-0.5,-0.5,NA
"11600","Native",2,11,"disamb","rp","disamb rp",4,1,0,NA,-0.5,0.5,NA
"11602","Native",2,3,"disamb","rp","disamb rp",4,1,0,NA,-0.5,0.5,NA
"11604","Native",2,21,"disamb","rp","disamb rp",2,1,0,NA,0.5,0.5,NA
"11606","Native",2,20,"disamb","rp","disamb rp",1,0,244,244,0.5,-0.5,244
"11608","Native",2,16,"disamb","rp","disamb rp",1,0,142,142,0.5,-0.5,142
"11610","Native",2,13,"disamb","rp","disamb rp",2,0,321,321,0.5,0.5,321
"11612","Native",2,9,"disamb","rp","disamb rp",2,0,253,253,0.5,0.5,253
"11614","Native",2,12,"disamb","rp","disamb rp",1,0,269,269,0.5,-0.5,269
"11616","Native",2,23,"disamb","rp","disamb rp",4,0,391,391,-0.5,0.5,391
"11617","Native",3,11,"disamb","rp","disamb rp",1,0,631,631,0.5,-0.5,631
"11619","Native",3,21,"disamb","rp","disamb rp",3,0,145,145,-0.5,-0.5,145
"11621","Native",3,2,"disamb","rp","disamb rp",4,0,269,269,-0.5,0.5,269
"11623","Native",3,20,"disamb","rp","disamb rp",2,0,1924,1924,0.5,0.5,1924
"11625","Native",3,9,"disamb","rp","disamb rp",3,0,347,347,-0.5,-0.5,347
"11627","Native",3,4,"disamb","rp","disamb rp",2,0,983,983,0.5,0.5,983
"11629","Native",3,3,"disamb","rp","disamb rp",1,0,964,964,0.5,-0.5,964
"11631","Native",3,1,"disamb","rp","disamb rp",3,0,477,477,-0.5,-0.5,477
"11633","Native",3,13,"disamb","rp","disamb rp",3,0,1264,1264,-0.5,-0.5,1264
"11635","Native",3,18,"disamb","rp","disamb rp",4,0,305,305,-0.5,0.5,305
"11637","Native",3,7,"disamb","rp","disamb rp",1,0,468,468,0.5,-0.5,468
"11639","Native",3,5,"disamb","rp","disamb rp",3,0,400,400,-0.5,-0.5,400
"11641","Native",3,15,"disamb","rp","disamb rp",1,0,646,646,0.5,-0.5,646
"11643","Native",3,16,"disamb","rp","disamb rp",2,0,541,541,0.5,0.5,541
"11645","Native",3,8,"disamb","rp","disamb rp",2,0,1390,1390,0.5,0.5,1390
"11647","Native",3,22,"disamb","rp","disamb rp",4,0,420,420,-0.5,0.5,420
"11649","Native",3,17,"disamb","rp","disamb rp",3,0,409,409,-0.5,-0.5,409
"11651","Native",3,19,"disamb","rp","disamb rp",1,0,4762,4762,0.5,-0.5,NA
"11653","Native",3,23,"disamb","rp","disamb rp",1,0,675,675,0.5,-0.5,675
"11655","Native",3,14,"disamb","rp","disamb rp",4,0,393,393,-0.5,0.5,393
"11657","Native",3,24,"disamb","rp","disamb rp",2,0,182,182,0.5,0.5,182
"11659","Native",3,10,"disamb","rp","disamb rp",4,0,653,653,-0.5,0.5,653
"11661","Native",3,12,"disamb","rp","disamb rp",2,0,322,322,0.5,0.5,322
"11663","Native",3,6,"disamb","rp","disamb rp",4,0,526,526,-0.5,0.5,526
"11665","Native",4,21,"disamb","rp","disamb rp",4,0,281,281,-0.5,0.5,281
"11667","Native",4,14,"disamb","rp","disamb rp",1,0,334,334,0.5,-0.5,334
"11669","Native",4,22,"disamb","rp","disamb rp",1,0,197,197,0.5,-0.5,197
"11671","Native",4,11,"disamb","rp","disamb rp",2,0,171,171,0.5,0.5,171
"11673","Native",4,15,"disamb","rp","disamb rp",2,0,290,290,0.5,0.5,290
"11675","Native",4,23,"disamb","rp","disamb rp",2,0,172,172,0.5,0.5,172
"11677","Native",4,18,"disamb","rp","disamb rp",1,0,169,169,0.5,-0.5,169
"11679","Native",4,6,"disamb","rp","disamb rp",1,0,166,166,0.5,-0.5,166
"11681","Native",4,10,"disamb","rp","disamb rp",1,0,155,155,0.5,-0.5,155
"11683","Native",4,12,"disamb","rp","disamb rp",3,0,148,148,-0.5,-0.5,148
"11685","Native",4,19,"disamb","rp","disamb rp",2,0,314,314,0.5,0.5,314
"11687","Native",4,1,"disamb","rp","disamb rp",4,0,140,140,-0.5,0.5,140
"11689","Native",4,20,"disamb","rp","disamb rp",3,0,234,234,-0.5,-0.5,234
"11691","Native",4,16,"disamb","rp","disamb rp",3,0,160,160,-0.5,-0.5,160
"11693","Native",4,2,"disamb","rp","disamb rp",1,0,236,236,0.5,-0.5,236
"11695","Native",4,5,"disamb","rp","disamb rp",4,0,155,155,-0.5,0.5,155
"11697","Native",4,17,"disamb","rp","disamb rp",4,0,230,230,-0.5,0.5,230
"11699","Native",4,24,"disamb","rp","disamb rp",3,1,0,NA,-0.5,-0.5,NA
"11701","Native",4,13,"disamb","rp","disamb rp",4,0,422,422,-0.5,0.5,422
"11703","Native",4,8,"disamb","rp","disamb rp",3,0,214,214,-0.5,-0.5,214
"11705","Native",4,9,"disamb","rp","disamb rp",4,0,440,440,-0.5,0.5,440
"11707","Native",4,7,"disamb","rp","disamb rp",2,0,349,349,0.5,0.5,349
"11709","Native",4,4,"disamb","rp","disamb rp",3,0,775,775,-0.5,-0.5,775
"11711","Native",4,3,"disamb","rp","disamb rp",2,0,1266,1266,0.5,0.5,NA
"11714","Native",5,8,"disamb","rp","disamb rp",4,1,0,NA,-0.5,0.5,NA
"11716","Native",5,4,"disamb","rp","disamb rp",4,0,376,376,-0.5,0.5,376
"11718","Native",5,19,"disamb","rp","disamb rp",3,0,169,169,-0.5,-0.5,169
"11720","Native",5,21,"disamb","rp","disamb rp",1,0,361,361,0.5,-0.5,361
"11722","Native",5,13,"disamb","rp","disamb rp",1,0,186,186,0.5,-0.5,186
"11724","Native",5,9,"disamb","rp","disamb rp",1,0,219,219,0.5,-0.5,219
"11726","Native",5,3,"disamb","rp","disamb rp",3,0,838,838,-0.5,-0.5,838
"11728","Native",5,12,"disamb","rp","disamb rp",4,0,201,201,-0.5,0.5,201
"11730","Native",5,2,"disamb","rp","disamb rp",2,0,266,266,0.5,0.5,266
"11732","Native",5,15,"disamb","rp","disamb rp",3,1,0,NA,-0.5,-0.5,NA
"11734","Native",5,5,"disamb","rp","disamb rp",1,0,256,256,0.5,-0.5,256
"11736","Native",5,7,"disamb","rp","disamb rp",3,0,185,185,-0.5,-0.5,185
"11738","Native",5,22,"disamb","rp","disamb rp",2,0,271,271,0.5,0.5,271
"11740","Native",5,17,"disamb","rp","disamb rp",1,1,0,NA,0.5,-0.5,NA
"11742","Native",5,16,"disamb","rp","disamb rp",4,0,228,228,-0.5,0.5,228
"11744","Native",5,1,"disamb","rp","disamb rp",1,0,299,299,0.5,-0.5,299
"11746","Native",5,14,"disamb","rp","disamb rp",2,0,201,201,0.5,0.5,201
