"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"1","Native",1,38,"disamb","fp","disamb fp",6,0,328,328,-0.5,-0.5,328
"3","Native",1,39,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"5","Native",1,26,"disamb","fp","disamb fp",6,0,336,336,-0.5,-0.5,336
"7","Native",1,34,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"9","Native",1,46,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"11","Native",1,29,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"13","Native",1,36,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"15","Native",1,30,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"17","Native",1,40,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"19","Native",1,33,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"21","Native",1,43,"disamb","fp","disamb fp",7,0,311,311,0.5,0.5,311
"23","Native",1,28,"disamb","fp","disamb fp",8,0,375,375,-0.5,0.5,375
"25","Native",1,31,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"27","Native",1,45,"disamb","fp","disamb fp",5,0,298,298,0.5,-0.5,298
"29","Native",1,25,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"31","Native",1,41,"disamb","fp","disamb fp",5,0,252,252,0.5,-0.5,252
"33","Native",1,42,"disamb","fp","disamb fp",6,0,682,682,-0.5,-0.5,682
"35","Native",1,37,"disamb","fp","disamb fp",5,0,253,253,0.5,-0.5,253
"37","Native",1,32,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"39","Native",1,48,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"41","Native",1,47,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"43","Native",1,44,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"45","Native",1,27,"disamb","fp","disamb fp",7,1,0,NA,0.5,0.5,NA
"47","Native",1,35,"disamb","fp","disamb fp",7,0,201,201,0.5,0.5,201
"49","Native",2,46,"disamb","fp","disamb fp",7,0,159,159,0.5,0.5,159
"51","Native",2,25,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"53","Native",2,39,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"55","Native",2,38,"disamb","fp","disamb fp",7,0,329,329,0.5,0.5,329
"57","Native",2,30,"disamb","fp","disamb fp",7,0,576,576,0.5,0.5,576
"59","Native",2,27,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"61","Native",2,29,"disamb","fp","disamb fp",6,0,506,506,-0.5,-0.5,506
"63","Native",2,33,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"65","Native",2,32,"disamb","fp","disamb fp",5,0,225,225,0.5,-0.5,225
"67","Native",2,43,"disamb","fp","disamb fp",8,0,478,478,-0.5,0.5,478
"69","Native",2,45,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"71","Native",2,48,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"73","Native",2,47,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"75","Native",2,31,"disamb","fp","disamb fp",8,0,407,407,-0.5,0.5,407
"77","Native",2,26,"disamb","fp","disamb fp",7,0,183,183,0.5,0.5,183
"79","Native",2,42,"disamb","fp","disamb fp",7,0,176,176,0.5,0.5,176
"81","Native",2,36,"disamb","fp","disamb fp",5,0,194,194,0.5,-0.5,194
"83","Native",2,35,"disamb","fp","disamb fp",8,1,0,NA,-0.5,0.5,NA
"85","Native",2,44,"disamb","fp","disamb fp",5,0,208,208,0.5,-0.5,208
"87","Native",2,41,"disamb","fp","disamb fp",6,0,315,315,-0.5,-0.5,315
"89","Native",2,37,"disamb","fp","disamb fp",6,0,209,209,-0.5,-0.5,209
"91","Native",2,40,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"93","Native",2,28,"disamb","fp","disamb fp",5,1,0,NA,0.5,-0.5,NA
"95","Native",2,34,"disamb","fp","disamb fp",7,0,301,301,0.5,0.5,301
"98","Native",3,34,"disamb","fp","disamb fp",8,0,563,563,-0.5,0.5,563
"100","Native",3,30,"disamb","fp","disamb fp",8,0,562,562,-0.5,0.5,562
"102","Native",3,38,"disamb","fp","disamb fp",8,0,87,87,-0.5,0.5,87
"104","Native",3,43,"disamb","fp","disamb fp",5,0,130,130,0.5,-0.5,130
"106","Native",3,47,"disamb","fp","disamb fp",5,0,1174,1174,0.5,-0.5,1174
"108","Native",3,25,"disamb","fp","disamb fp",7,0,327,327,0.5,0.5,327
"110","Native",3,37,"disamb","fp","disamb fp",7,0,622,622,0.5,0.5,622
"112","Native",3,40,"disamb","fp","disamb fp",6,0,117,117,-0.5,-0.5,117
"114","Native",3,42,"disamb","fp","disamb fp",8,0,991,991,-0.5,0.5,991
"116","Native",3,33,"disamb","fp","disamb fp",7,0,416,416,0.5,0.5,416
"118","Native",3,39,"disamb","fp","disamb fp",5,0,397,397,0.5,-0.5,397
"120","Native",3,41,"disamb","fp","disamb fp",7,0,706,706,0.5,0.5,706
"122","Native",3,27,"disamb","fp","disamb fp",5,0,484,484,0.5,-0.5,484
"124","Native",3,29,"disamb","fp","disamb fp",7,0,314,314,0.5,0.5,314
"126","Native",3,46,"disamb","fp","disamb fp",8,0,384,384,-0.5,0.5,384
"128","Native",3,28,"disamb","fp","disamb fp",6,0,385,385,-0.5,-0.5,385
"130","Native",3,35,"disamb","fp","disamb fp",5,0,1239,1239,0.5,-0.5,1239
"132","Native",3,45,"disamb","fp","disamb fp",7,0,158,158,0.5,0.5,158
"134","Native",3,32,"disamb","fp","disamb fp",6,0,1315,1315,-0.5,-0.5,1315
"136","Native",3,26,"disamb","fp","disamb fp",8,0,659,659,-0.5,0.5,659
"138","Native",3,36,"disamb","fp","disamb fp",6,0,473,473,-0.5,-0.5,473
"140","Native",3,31,"disamb","fp","disamb fp",5,0,588,588,0.5,-0.5,588
"142","Native",3,48,"disamb","fp","disamb fp",6,0,1194,1194,-0.5,-0.5,1194
"144","Native",3,44,"disamb","fp","disamb fp",6,1,0,NA,-0.5,-0.5,NA
"146","Native",4,43,"disamb","fp","disamb fp",6,0,306,306,-0.5,-0.5,306
"148","Native",4,33,"disamb","fp","disamb fp",8,0,161,161,-0.5,0.5,161
"150","Native",4,29,"disamb","fp","disamb fp",8,0,211,211,-0.5,0.5,211
"152","Native",4,41,"disamb","fp","disamb fp",8,0,183,183,-0.5,0.5,183
"154","Native",4,26,"disamb","fp","disamb fp",5,0,302,302,0.5,-0.5,302
